Date	Imagename	ID	Pixels
2020_01_06	IMG_0064	1	6126
2020_01_06	IMG_0064	2	6595
2020_01_06	IMG_0064	3	8162
2020_01_06	IMG_0064	4	4083
2020_01_06	IMG_0064	5	3055
2020_01_06	IMG_0064	6	3216
2020_01_06	IMG_0064	7	1486
2020_01_06	IMG_0064	8	3429
2020_01_06	IMG_0064	9	2675
2020_01_06	IMG_0064	10	11477
2020_01_06	IMG_0064	11	6313
2020_01_06	IMG_0064	12	10297
2020_01_06	IMG_0064	13	2738
2020_01_06	IMG_0065	1	6100
2020_01_06	IMG_0065	2	6535
2020_01_06	IMG_0065	3	8109
2020_01_06	IMG_0065	4	4011
2020_01_06	IMG_0065	5	3188
2020_01_06	IMG_0065	6	3174
2020_01_06	IMG_0065	7	1521
2020_01_06	IMG_0065	8	3391
2020_01_06	IMG_0065	9	2544
2020_01_06	IMG_0065	10	11254
2020_01_06	IMG_0065	11	6254
2020_01_06	IMG_0065	12	10336
2020_01_06	IMG_0065	13	2642
2020_01_06	IMG_0066	1	6815
2020_01_06	IMG_0066	2	9305
2020_01_06	IMG_0066	3	5604
2020_01_06	IMG_0066	4	2801
2020_01_06	IMG_0066	5	4871
2020_01_06	IMG_0066	6	2119
2020_01_06	IMG_0066	7	6158
2020_01_06	IMG_0066	8	7040
2020_01_06	IMG_0066	9	6956
2020_01_06	IMG_0066	10	2384
2020_01_06	IMG_0066	11	7452
2020_01_06	IMG_0066	12	3416
2020_01_06	IMG_0067	1	3275
2020_01_06	IMG_0067	2	7401
2020_01_06	IMG_0067	3	9359
2020_01_06	IMG_0067	4	6635
2020_01_06	IMG_0067	5	5729
2020_01_06	IMG_0067	6	7179
2020_01_06	IMG_0067	7	2322
2020_01_06	IMG_0067	8	5361
2020_01_06	IMG_0067	9	3199
2020_01_06	IMG_0067	10	7755
2020_01_06	IMG_0067	11	2595
2020_01_06	IMG_0067	12	7553
2020_01_06	IMG_0068	1	3275
2020_01_06	IMG_0068	2	7401
2020_01_06	IMG_0068	3	9359
2020_01_06	IMG_0068	4	6635
2020_01_06	IMG_0068	5	5729
2020_01_06	IMG_0068	6	7179
2020_01_06	IMG_0068	7	2322
2020_01_06	IMG_0068	8	5361
2020_01_06	IMG_0068	9	3199
2020_01_06	IMG_0068	10	7755
2020_01_06	IMG_0068	11	2595
2020_01_06	IMG_0068	12	7553
2020_01_06	IMG_0069	1	7606
2020_01_06	IMG_0069	2	6398
2020_01_06	IMG_0069	3	10563
2020_01_06	IMG_0069	4	4903
2020_01_06	IMG_0069	5	9785
2020_01_06	IMG_0069	6	10206
2020_01_06	IMG_0069	7	5065
2020_01_06	IMG_0069	8	16435
2020_01_06	IMG_0070	1	16148
2020_01_06	IMG_0070	2	2153
2020_01_06	IMG_0070	3	11718
2020_01_06	IMG_0070	4	7838
2020_01_06	IMG_0070	5	3375
2020_01_06	IMG_0070	6	5634
2020_01_06	IMG_0070	7	5634
2020_01_06	IMG_0070	8	6694
2020_01_06	IMG_0070	9	9668
2020_01_06	IMG_0070	10	6550
2020_01_06	IMG_0070	11	5833
2020_01_06	IMG_0071	1	3231
2020_01_06	IMG_0071	2	6701
2020_01_06	IMG_0071	3	7037
2020_01_06	IMG_0071	4	9898
2020_01_06	IMG_0071	5	272
2020_01_06	IMG_0071	6	245
2020_01_06	IMG_0071	7	6056
2020_01_06	IMG_0071	8	5561
2020_01_06	IMG_0071	9	2883
2020_01_06	IMG_0071	10	6094
2020_01_06	IMG_0071	11	4332
2020_01_06	IMG_0071	12	6108
2020_01_06	IMG_0071	13	206
2020_01_06	IMG_0072	1	10074
2020_01_06	IMG_0072	2	8731
2020_01_06	IMG_0072	3	2336
2020_01_06	IMG_0072	4	3083
2020_01_06	IMG_0072	5	5182
2020_01_06	IMG_0072	6	7501
2020_01_06	IMG_0072	7	9252
2020_01_06	IMG_0072	8	5210
2020_01_06	IMG_0073	1	10074
2020_01_06	IMG_0073	2	8731
2020_01_06	IMG_0073	3	2336
2020_01_06	IMG_0073	4	3083
2020_01_06	IMG_0073	5	5182
2020_01_06	IMG_0073	6	7501
2020_01_06	IMG_0073	7	9252
2020_01_06	IMG_0073	8	5210
2020_01_06	IMG_0074	1	18279
2020_01_06	IMG_0074	2	8333
2020_01_06	IMG_0074	3	5636
2020_01_06	IMG_0074	4	1622
2020_01_06	IMG_0074	5	5175
2020_01_06	IMG_0074	6	7697
2020_01_06	IMG_0074	7	6999
2020_01_06	IMG_0074	8	3234
2020_01_06	IMG_0074	9	9375
2020_01_06	IMG_0074	10	7531
2020_01_06	IMG_0074	11	7125
2020_01_06	IMG_0074	12	3137
2020_01_06	IMG_0075	1	1493
2020_01_06	IMG_0075	2	2057
2020_01_06	IMG_0075	3	4441
2020_01_06	IMG_0075	4	3255
2020_01_06	IMG_0075	5	2623
2020_01_06	IMG_0075	6	3809
2020_01_06	IMG_0075	7	2914
2020_01_06	IMG_0075	8	4942
2020_01_06	IMG_0075	9	1462
2020_01_06	IMG_0076	1	4382
2020_01_06	IMG_0076	2	2101
2020_01_06	IMG_0076	3	2457
2020_01_06	IMG_0076	4	5342
2020_01_06	IMG_0076	5	2326
2020_01_06	IMG_0076	6	2780
2020_01_06	IMG_0076	7	365
2020_01_06	IMG_0076	8	429
2020_01_06	IMG_0076	9	5686
2020_01_06	IMG_0076	10	2794
2020_01_06	IMG_0076	11	2599
2020_01_06	IMG_0076	12	3757
2020_01_06	IMG_0076	13	2411
2020_01_06	IMG_0077	1	4382
2020_01_06	IMG_0077	2	2101
2020_01_06	IMG_0077	3	2457
2020_01_06	IMG_0077	4	5342
2020_01_06	IMG_0077	5	2326
2020_01_06	IMG_0077	6	2780
2020_01_06	IMG_0077	7	365
2020_01_06	IMG_0077	8	429
2020_01_06	IMG_0077	9	5686
2020_01_06	IMG_0077	10	2794
2020_01_06	IMG_0077	11	2599
2020_01_06	IMG_0077	12	3757
2020_01_06	IMG_0077	13	2411
2020_01_06	IMG_0078	1	1172
2020_01_06	IMG_0078	2	7720
2020_01_06	IMG_0078	3	14864
2020_01_06	IMG_0078	4	11399
2020_01_06	IMG_0078	5	13715
2020_01_06	IMG_0078	6	10376
2020_01_06	IMG_0078	7	19597
2020_01_06	IMG_0078	8	3815
2020_01_06	IMG_0078	9	8888
2020_01_06	IMG_0078	10	12002
2020_01_06	IMG_0078	11	17351
2020_01_06	IMG_0079	1	3161
2020_01_06	IMG_0079	2	4651
2020_01_06	IMG_0079	3	2431
2020_01_06	IMG_0079	4	2925
2020_01_06	IMG_0079	5	4273
2020_01_06	IMG_0079	6	3260
2020_01_06	IMG_0079	7	2735
2020_01_06	IMG_0079	8	2035
2020_01_06	IMG_0079	9	1885
2020_01_06	IMG_0079	10	4278
2020_01_06	IMG_0079	11	3198
2020_01_06	IMG_0079	12	2843
2020_01_06	IMG_0080	1	1388
2020_01_06	IMG_0080	2	2459
2020_01_06	IMG_0080	3	1721
2020_01_06	IMG_0080	4	806
2020_01_06	IMG_0080	5	2391
2020_01_06	IMG_0080	6	2560
2020_01_06	IMG_0080	7	1865
2020_01_06	IMG_0080	8	1702
2020_01_06	IMG_0080	9	3234
2020_01_06	IMG_0080	10	3045
2020_01_06	IMG_0080	11	1652
2020_01_06	IMG_0080	12	1409
2020_01_06	IMG_0081	1	1388
2020_01_06	IMG_0081	2	2459
2020_01_06	IMG_0081	3	1721
2020_01_06	IMG_0081	4	806
2020_01_06	IMG_0081	5	2391
2020_01_06	IMG_0081	6	2560
2020_01_06	IMG_0081	7	1865
2020_01_06	IMG_0081	8	1702
2020_01_06	IMG_0081	9	3234
2020_01_06	IMG_0081	10	3045
2020_01_06	IMG_0081	11	1652
2020_01_06	IMG_0081	12	1409
2020_01_06	IMG_0082	1	2974
2020_01_06	IMG_0082	2	1472
2020_01_06	IMG_0082	3	1659
2020_01_06	IMG_0082	4	1153
2020_01_06	IMG_0082	5	3653
2020_01_06	IMG_0082	6	2001
2020_01_06	IMG_0082	7	1881
2020_01_06	IMG_0082	8	1656
2020_01_06	IMG_0082	9	3846
2020_01_06	IMG_0082	10	2508
2020_01_06	IMG_0082	11	1355
2020_01_06	IMG_0083	1	4351
2020_01_06	IMG_0083	2	1725
2020_01_06	IMG_0083	3	3954
2020_01_06	IMG_0083	4	3107
2020_01_06	IMG_0083	5	3123
2020_01_06	IMG_0083	6	2127
2020_01_06	IMG_0083	7	4656
2020_01_06	IMG_0083	8	4702
2020_01_06	IMG_0083	9	4741
2020_01_06	IMG_0083	10	2828
2020_01_06	IMG_0083	11	3367
2020_01_06	IMG_0083	12	3115
2020_01_07	IMG_0101	1	1586
2020_01_07	IMG_0101	2	3797
2020_01_07	IMG_0101	3	5662
2020_01_07	IMG_0101	4	4657
2020_01_07	IMG_0101	5	2635
2020_01_07	IMG_0101	6	3735
2020_01_07	IMG_0101	7	4794
2020_01_07	IMG_0101	8	1545
2020_01_07	IMG_0101	9	2998
2020_01_07	IMG_0101	10	1738
2020_01_07	IMG_0101	11	4146
2020_01_07	IMG_0101	12	1439
2020_01_07	IMG_0101	13	4826
2020_01_07	IMG_0101	14	1637
2020_01_07	IMG_0102	1	4415
2020_01_07	IMG_0102	2	3055
2020_01_07	IMG_0102	3	2705
2020_01_07	IMG_0102	4	2907
2020_01_07	IMG_0102	5	6902
2020_01_07	IMG_0102	6	3478
2020_01_07	IMG_0102	7	1464
2020_01_07	IMG_0102	8	3038
2020_01_07	IMG_0102	9	5731
2020_01_07	IMG_0102	10	6961
2020_01_07	IMG_0102	11	2791
2020_01_07	IMG_0102	12	5213
2020_01_07	IMG_0102	13	5745
2020_01_07	IMG_0102	14	6128
2020_01_07	IMG_0103	1	3963
2020_01_07	IMG_0103	2	8337
2020_01_07	IMG_0103	3	1853
2020_01_07	IMG_0103	4	10321
2020_01_07	IMG_0103	5	4389
2020_01_07	IMG_0103	6	6377
2020_01_07	IMG_0103	7	4847
2020_01_07	IMG_0103	8	6443
2020_01_07	IMG_0103	9	6583
2020_01_07	IMG_0103	10	6999
2020_01_07	IMG_0103	11	3398
2020_01_07	IMG_0103	12	10611
2020_01_07	IMG_0104	1	9362
2020_01_07	IMG_0104	2	1435
2020_01_07	IMG_0104	3	7042
2020_01_07	IMG_0104	4	2969
2020_01_07	IMG_0104	5	2653
2020_01_07	IMG_0104	6	2340
2020_01_07	IMG_0104	7	3061
2020_01_07	IMG_0104	8	3270
2020_01_07	IMG_0104	9	4034
2020_01_07	IMG_0104	10	5456
2020_01_07	IMG_0104	11	3937
2020_01_07	IMG_0104	12	3812
2020_01_07	IMG_0104	13	4254
2020_01_07	IMG_0105	1	5157
2020_01_07	IMG_0105	2	5685
2020_01_07	IMG_0105	3	5868
2020_01_07	IMG_0105	4	3852
2020_01_07	IMG_0105	5	3448
2020_01_07	IMG_0105	6	2492
2020_01_07	IMG_0105	7	1715
2020_01_07	IMG_0105	8	3582
2020_01_07	IMG_0105	9	4143
2020_01_07	IMG_0105	10	5224
2020_01_07	IMG_0105	11	4486
2020_01_07	IMG_0105	12	3839
2020_01_07	IMG_0105	13	5905
2020_01_07	IMG_0106	1	2468
2020_01_07	IMG_0106	2	5323
2020_01_07	IMG_0106	3	6095
2020_01_07	IMG_0106	4	6513
2020_01_07	IMG_0106	5	1766
2020_01_07	IMG_0106	6	4912
2020_01_07	IMG_0106	7	3110
2020_01_07	IMG_0106	8	1848
2020_01_07	IMG_0106	9	3769
2020_01_07	IMG_0106	10	1546
2020_01_07	IMG_0106	11	3013
2020_01_07	IMG_0106	12	5411
2020_01_07	IMG_0106	13	4990
2020_01_07	IMG_0107	1	9568
2020_01_07	IMG_0107	2	12377
2020_01_07	IMG_0107	3	5616
2020_01_07	IMG_0107	4	7116
2020_01_07	IMG_0107	5	10737
2020_01_07	IMG_0107	6	8285
2020_01_07	IMG_0107	7	11670
2020_01_07	IMG_0107	8	14137
2020_01_07	IMG_0107	9	6772
2020_01_07	IMG_0107	10	2649
2020_01_07	IMG_0107	11	9255
2020_01_07	IMG_0107	12	10361
2020_01_07	IMG_0107	13	12058
2020_01_07	IMG_0107	14	9730
2020_01_07	IMG_0107	15	4980
2020_01_07	IMG_0108	1	12241
2020_01_07	IMG_0108	2	3085
2020_01_07	IMG_0108	3	5458
2020_01_07	IMG_0108	4	3404
2020_01_07	IMG_0108	5	1569
2020_01_07	IMG_0108	6	2206
2020_01_07	IMG_0108	7	3248
2020_01_07	IMG_0108	8	6241
2020_01_07	IMG_0108	9	4987
2020_01_07	IMG_0108	10	2502
2020_01_07	IMG_0108	11	2021
2020_01_07	IMG_0108	12	4188
2020_01_07	IMG_0108	13	5009
2020_01_07	IMG_0108	14	5472
2020_01_07	IMG_0108	15	4836
2020_01_07	IMG_0108	16	2298
2020_01_07	IMG_0108	17	3973
2020_01_07	IMG_0109	1	657
2020_01_07	IMG_0109	2	550
2020_01_07	IMG_0109	3	1383
2020_01_07	IMG_0109	4	1646
2020_01_07	IMG_0109	5	3146
2020_01_07	IMG_0109	6	4761
2020_01_07	IMG_0109	7	2782
2020_01_07	IMG_0109	8	2218
2020_01_07	IMG_0109	9	2724
2020_01_07	IMG_0109	10	4853
2020_01_07	IMG_0109	11	2199
2020_01_07	IMG_0109	12	3852
2020_01_07	IMG_0109	13	1096
2020_01_07	IMG_0110	1	3410
2020_01_07	IMG_0110	2	1644
2020_01_07	IMG_0110	3	1802
2020_01_07	IMG_0110	4	3313
2020_01_07	IMG_0110	5	5728
2020_01_07	IMG_0110	6	1910
2020_01_07	IMG_0110	7	1946
2020_01_07	IMG_0110	8	230
2020_01_07	IMG_0110	9	310
2020_01_07	IMG_0110	10	4011
2020_01_07	IMG_0110	11	3384
2020_01_07	IMG_0110	12	1498
2020_01_07	IMG_0110	13	1843
2020_01_07	IMG_0110	14	3258
2020_01_07	IMG_0110	15	1619
2020_01_07	IMG_0110	16	3117
2020_01_07	IMG_0111	1	5206
2020_01_07	IMG_0111	2	2416
2020_01_07	IMG_0111	3	10605
2020_01_07	IMG_0111	4	6933
2020_01_07	IMG_0111	5	5940
2020_01_07	IMG_0111	6	12358
2020_01_07	IMG_0111	7	3492
2020_01_07	IMG_0111	8	5097
2020_01_07	IMG_0111	9	8882
2020_01_07	IMG_0111	10	8176
2020_01_07	IMG_0111	11	6196
2020_01_07	IMG_0111	12	2730
2020_01_07	IMG_0111	13	5582
2020_01_07	IMG_0111	14	8379
2020_01_07	IMG_0111	15	7970
2020_01_07	IMG_0111	16	8160
2020_01_07	IMG_0112	1	6844
2020_01_07	IMG_0112	2	6236
2020_01_07	IMG_0112	3	12108
2020_01_07	IMG_0112	4	9344
2020_01_07	IMG_0112	5	8688
2020_01_07	IMG_0112	6	8346
2020_01_07	IMG_0112	7	6732
2020_01_07	IMG_0112	8	10273
2020_01_07	IMG_0112	9	8718
2020_01_07	IMG_0112	10	8224
2020_01_07	IMG_0112	11	8260
2020_01_07	IMG_0112	12	11787
2020_01_07	IMG_0113	1	1958
2020_01_07	IMG_0113	2	2769
2020_01_07	IMG_0113	3	1312
2020_01_07	IMG_0113	4	1404
2020_01_07	IMG_0113	5	2558
2020_01_07	IMG_0113	6	1852
2020_01_07	IMG_0113	7	215
2020_01_07	IMG_0113	8	335
2020_01_07	IMG_0113	9	252
2020_01_07	IMG_0113	10	302
2020_01_07	IMG_0113	11	229
2020_01_07	IMG_0113	12	1123
2020_01_07	IMG_0113	13	2600
2020_01_07	IMG_0113	14	362
2020_01_07	IMG_0113	15	340
2020_01_07	IMG_0113	16	267
2020_01_07	IMG_0113	17	1197
2020_01_07	IMG_0113	18	309
2020_01_07	IMG_0113	19	229
